PARAM,AVG_TIME,RUN,FAILED
1,361ms,1,0
1,359ms,2,0
1,345ms,3,0
10,847ms,1,0
10,816ms,2,0
10,735ms,3,0
20,681ms,1,0
20,769ms,2,0
20,762ms,3,0
50,1395ms,1,0
50,2288ms,2,0
50,1230ms,3,0
100,1809ms,1,0
100,2754ms,2,0
100,1786ms,3,0
1000,8816ms,1,0
1000,9214ms,2,0
1000,8910ms,3,0
