PARAM,AVG_TIME,RUN,FAILED
10,383ms,1,0
10,286ms,2,0
10,360ms,3,0
100,407ms,1,0
100,340ms,2,0
100,370ms,3,0
1000,434ms,1,0
1000,317ms,2,0
1000,379ms,3,0
